year,smoke_estimate,value_leisure,value_service
2021,2.5845897970518457,17070.766267985422,125402.61909995103
2022,2.570698902137059,17105.296115093133,125557.00023821206
2023,2.56758949889229,17113.02543845903,125591.55763823449
2024,2.5668934754468684,17114.75560655124,125599.2931291744
2025,2.566737674285539,17115.142895513753,125601.02467784539
2026,2.5667027990208746,17115.22958809649,125601.41227584315
2027,2.5666949923776183,17115.24899377191,125601.49903760178
2028,2.5666932449018782,17115.25333762956,125601.51845876187
2029,2.5666928537386906,17115.254309979086,125601.52280608568
2030,2.566692766178883,17115.254527634374,125601.52377921107
2031,2.566692746579084,17115.25457635536,125601.52399704004
2032,2.5666927421917727,17115.254587261294,125601.5240457999
2033,2.5666927412096965,17115.25458970253,125601.52405671454
2034,2.566692740989864,17115.254590248987,125601.52405915773
2035,2.5666927409406557,17115.254590371307,125601.52405970462
2036,2.5666927409296405,17115.25459039869,125601.52405982703
2037,2.566692740927175,17115.254590404817,125601.52405985445
2038,2.566692740926623,17115.25459040619,125601.52405986057
2039,2.5666927409264995,17115.254590406497,125601.52405986194
2040,2.566692740926472,17115.254590406566,125601.52405986225
2041,2.5666927409264657,17115.25459040658,125601.52405986232
2042,2.5666927409264644,17115.254590406585,125601.52405986233
2043,2.566692740926464,17115.254590406585,125601.52405986233
2044,2.566692740926464,17115.254590406585,125601.52405986233
2045,2.566692740926464,17115.254590406585,125601.52405986233
