,year,smoke estimate,Value_leisure,Value_service,name,type,distance,start date,end date
0,1990,4.785366465876754,9773.417721518987,90445.56962025317,UNNAMED (1),Wildfire,455.1106359133581,1990-05-19,1990-05-19
1,1991,4.247874037755681,9471.42857142857,89128.57142857143,UNKNOWN (1),Wildfire,410.86119327403895,1991-05-02,1991-05-07
2,1992,4.255201994500203,9539.21568627451,91696.07843137255,UNNAMED (1),Wildfire,450.00005577531937,1992-05-13,1992-05-13
3,1993,5.099323543468582,9671.559633027522,94745.87155963303,UNNAMED (1),Wildfire,454.3546520121841,1993-05-08,1993-05-11
4,1994,4.5059570131222175,11008.57142857143,96288.57142857143,UNNAMED (1),Wildfire,516.7337139948186,1994-05-23,1994-05-23
5,1995,3.3843093930694557,11790.333333333334,100414.66666666667,No Fire Name Provided (1),Likely Wildfire,566.1547865746685,1995-05-18,1995-05-19
6,1996,3.905418761146432,12174.193548387097,101377.41935483871,UNNAMED (1),Wildfire,449.1982869205378,1996-05-22,1996-05-22
7,1997,4.404180041417579,12873.611111111111,105434.72222222222,UNNAMED (1),Wildfire,331.11372129542303,1997-05-18,1997-05-18
8,1998,4.322666441451946,13074.468085106382,106686.52482269504,UNNAMED (1),Wildfire,610.2790354206048,1998-05-23,1998-05-23
9,1999,3.9548080874804095,12902.597402597403,111118.18181818182,UNNAMED (1),Wildfire,435.5664985601914,1999-05-04,1999-05-06
10,2000,4.738967806245587,13586.580086580087,113363.63636363637,UNNAMED (1),Wildfire,594.3821989467904,2000-05-05,2000-05-06
11,2001,4.115730743633636,14376.623376623376,113837.66233766233,UNNAMED (1),Wildfire,613.1945820076481,2001-05-09,2001-05-10
12,2002,4.5526557506957435,14595.530726256984,112979.88826815643,UNNAMED (1),Wildfire,455.0850021333277,2002-06-20,2002-06-22
13,2003,3.6682388260332517,14214.37125748503,112930.53892215568,UNNAMED (1),Wildfire,207.4324555101704,2003-05-24,2003-05-24
14,2004,3.349659244356262,14896.666666666666,114688.33333333333,UNNAMED (1),Likely Wildfire,336.1579683827962,2004-05-21,2004-05-21
15,2005,4.978320817026193,14711.89591078067,116390.7063197026,UNNAMED (1),Wildfire,446.3721721830277,2005-05-23,2005-05-23
16,2006,3.6098223071561746,15283.806818181818,118198.57954545454,UNNAMED (1),Wildfire,441.9044867310555,2006-05-20,2006-05-23
17,2007,2.106966793440951,15399.253731343284,118777.6119402985,No Fire Name Provided (1),Prescribed Fire,590.9045853111376,2007-06-06,2007-06-07
18,2008,2.5068447336560347,16282.911392405063,121200.0,No Fire Name Provided (1),Prescribed Fire,449.3484209529768,2008-05-15,2008-05-15
19,2009,2.40154238659037,15920.265780730897,119652.82392026579,No Fire Name Provided (1),Prescribed Fire,452.1560824502003,2009-05-15,2009-05-16
20,2010,2.534118644193959,15901.125703564729,121196.62288930581,UNNAMED (1),Prescribed Fire,439.976031669888,2010-05-16,2010-05-25
21,2011,3.7966866253183356,16194.902139280837,122329.6768320437,UNNAMED (1),Likely Wildfire,551.2438633574893,2011-05-01,2011-05-03
22,2012,2.7717347518420348,16588.46737481032,124024.58270106222,UNNAMED (1),Prescribed Fire,456.7232666973591,2012-05-26,2012-05-31
23,2013,2.16847733045044,16904.11622276029,127061.01694915254,UNNAMED (1),Prescribed Fire,328.6584113878645,2013-05-04,2013-05-04
24,2014,2.027975056170321,17297.783251231525,129137.68472906401,UNNAMED (1),Prescribed Fire,605.7869062114481,2014-05-18,2014-05-19
25,2015,2.256821298336853,17993.4393638171,131167.79324055667,UNNAMED (1),Prescribed Fire,566.5964860486386,2015-05-18,2015-05-20
26,2016,2.8154066816870804,18789.330922242316,134822.42314647377,UNNAMED (1),Prescribed Fire,637.5248624272128,2016-05-04,2016-05-05
27,2017,2.589583007360881,19594.53262786596,136170.72310405644,UNNAMED (1),Prescribed Fire,434.7722288260064,2017-05-14,2017-05-19
28,2018,2.7816088356225164,20099.6303142329,135785.58225508317,UNNAMED (1),Prescribed Fire,328.6114974809058,2018-05-17,2018-05-17
29,2019,2.2465159869531455,20704.414587332052,138074.08829174665,No Fire Name Provided (1),Prescribed Fire,455.7115055258752,2019-05-22,2019-05-22
30,2020,2.6466457435934383,19455.178571428572,133778.39285714287,London (1),Prescribed Fire,623.4180366545392,2020-05-01,2020-05-26
